Job 3917           , total_duration: 274.450016ms   , real_time_elapsed: 400.577305ms   
Job 3916           , total_duration: 555.589952ms   , real_time_elapsed: 801.151911ms   
Job 3914           , total_duration: 15.889ms       , real_time_elapsed: 100.133648ms   
Job 3915           , total_duration: 699.699968ms   , real_time_elapsed: 801.169045ms   
Job 3913           , total_duration: 296.070016ms   , real_time_elapsed: 400.562808ms   
Job 3912           , total_duration: 251.130016ms   , real_time_elapsed: 300.428709ms   
Job 3911           , total_duration: 216.58ms       , real_time_elapsed: 300.427576ms   
Job 3907           , total_duration: 336.230016ms   , real_time_elapsed: 1.301893458s   
Job 3909           , total_duration: 847.010048ms   , real_time_elapsed: 2.703946465s   
Job 3904           , total_duration: 120.95ms       , real_time_elapsed: 300.459994ms   
Job 3905           , total_duration: 463.6ms        , real_time_elapsed: 1.70252903s    
Job 3908           , total_duration: 1.026900032s   , real_time_elapsed: 4.106056258s   
Job 3910           , total_duration: 4.055800064s   , real_time_elapsed: 7.511076964s   
Job 3906           , total_duration: 1.072299968s   , real_time_elapsed: 4.106046446s   
Job 3903           , total_duration: 484.010016ms   , real_time_elapsed: 1.101605909s   
Job 3902           , total_duration: 699.44ms       , real_time_elapsed: 701.008846ms   
Job 3901           , total_duration: 768.089984ms   , real_time_elapsed: 801.15427ms    
Job 3900           , total_duration: 338.250016ms   , real_time_elapsed: 400.586107ms   
Job 3899           , total_duration: 836.459968ms   , real_time_elapsed: 901.277563ms   
Job 3898           , total_duration: 849.729984ms   , real_time_elapsed: 1.001486082s   
Job 3897           , total_duration: 397.210016ms   , real_time_elapsed: 600.866319ms   
Job 3895           , total_duration: 60.797ms       , real_time_elapsed: 100.132445ms   
Job 3896           , total_duration: 1.2944s        , real_time_elapsed: 1.402043061s   
Job 3894           , total_duration: 260.86ms       , real_time_elapsed: 300.408442ms   
Job 3891           , total_duration: 104.52ms       , real_time_elapsed: 200.241382ms   
Job 3890           , total_duration: 190.65ms       , real_time_elapsed: 400.523405ms   
Job 3892           , total_duration: 817.84ms       , real_time_elapsed: 1.802395059s   
Job 3893           , total_duration: 2.390199808s   , real_time_elapsed: 3.404700599s   
Job 3889           , total_duration: 26.749ms       , real_time_elapsed: 100.120809ms   
Job 3888           , total_duration: 35.333ms       , real_time_elapsed: 100.144335ms   
Job 3887           , total_duration: 198.77ms       , real_time_elapsed: 200.272404ms   
Job 3886           , total_duration: 116.83ms       , real_time_elapsed: 200.273004ms   
Job 3885           , total_duration: 799.72ms       , real_time_elapsed: 1.001394003s   
Job 3883           , total_duration: 1.106300032s   , real_time_elapsed: 2.303291754s   
Job 3881           , total_duration: 114.43ms       , real_time_elapsed: 200.27868ms    
Job 3880           , total_duration: 197.05ms       , real_time_elapsed: 500.657226ms   
Job 3879           , total_duration: 439.4ms        , real_time_elapsed: 1.301810315s   
Job 3884           , total_duration: 3.77609984s    , real_time_elapsed: 8.211924893s   
Job 3882           , total_duration: 4.396100096s   , real_time_elapsed: 7.611070255s   
Job 3875           , total_duration: 397.38ms       , real_time_elapsed: 1.301846675s   
Job 3877           , total_duration: 833.790016ms   , real_time_elapsed: 2.603778534s   
Job 3874           , total_duration: 34.416ms       , real_time_elapsed: 100.140267ms   
Job 3878           , total_duration: 1.9348s        , real_time_elapsed: 4.806916675s   
Job 3873           , total_duration: 497.850016ms   , real_time_elapsed: 1.201691521s   
Job 3872           , total_duration: 77.53ms        , real_time_elapsed: 100.092622ms   
Job 3871           , total_duration: 157.66ms       , real_time_elapsed: 300.387654ms   
Job 3870           , total_duration: 80.76ms        , real_time_elapsed: 100.090115ms   
Job 3869           , total_duration: 1.323400064s   , real_time_elapsed: 3.004378035s   
Job 3867           , total_duration: 436.809984ms   , real_time_elapsed: 1.001398342s   
Job 3865           , total_duration: 367.549984ms   , real_time_elapsed: 1.201719601s   
Job 3866           , total_duration: 1.7184s        , real_time_elapsed: 5.307737429s   
Job 3862           , total_duration: 505.410016ms   , real_time_elapsed: 2.203202786s   
Job 3864           , total_duration: 1.036200064s   , real_time_elapsed: 5.007338369s   
Job 3868           , total_duration: 3.674000128s   , real_time_elapsed: 10.315077171s  
Job 3858           , total_duration: 239.3ms        , real_time_elapsed: 1.101592881s   
Job 3863           , total_duration: 1.0444s        , real_time_elapsed: 5.307811083s   
Job 3857           , total_duration: 329.389984ms   , real_time_elapsed: 1.301803842s   
Job 3859           , total_duration: 707.149952ms   , real_time_elapsed: 3.404887516s   
Job 3861           , total_duration: 1.268599936s   , real_time_elapsed: 5.507968056s   
Job 3855           , total_duration: 314.5ms        , real_time_elapsed: 801.075006ms   
Job 3860           , total_duration: 1.7928s        , real_time_elapsed: 6.709568213s   
Job 3854           , total_duration: 30.495ms       , real_time_elapsed: 100.072941ms   
Job 3853           , total_duration: 1.3668s        , real_time_elapsed: 2.804045305s   
Job 3851           , total_duration: 242.45ms       , real_time_elapsed: 400.532233ms   
Job 3852           , total_duration: 1.3124s        , real_time_elapsed: 2.203180343s   
Job 3850           , total_duration: 2.092200064s   , real_time_elapsed: 2.203114172s   
Job 3849           , total_duration: 245.47ms       , real_time_elapsed: 300.398218ms   
Job 3847           , total_duration: 217.87ms       , real_time_elapsed: 400.531383ms   
Job 3848           , total_duration: 1.067299968s   , real_time_elapsed: 1.902720217s   
Job 3846           , total_duration: 560.140032ms   , real_time_elapsed: 1.201691051s   
Job 3845           , total_duration: 458.84ms       , real_time_elapsed: 801.106261ms   
Job 3842           , total_duration: 32.721002ms    , real_time_elapsed: 100.096868ms   
Job 3844           , total_duration: 691.940032ms   , real_time_elapsed: 1.301867845s   
Job 3843           , total_duration: 1.261800064s   , real_time_elapsed: 1.902744992s   
Job 3856           , total_duration: 4.688499712s   , real_time_elapsed: 17.224795734s  
Job 3841           , total_duration: 339.56ms       , real_time_elapsed: 400.545016ms   
Job 3838           , total_duration: 319.409984ms   , real_time_elapsed: 801.11986ms    
Job 3839           , total_duration: 1.544s         , real_time_elapsed: 3.805488082s   
Job 3836           , total_duration: 24.097ms       , real_time_elapsed: 100.092104ms   
Job 3837           , total_duration: 1.3472s        , real_time_elapsed: 3.204627173s   
Job 3834           , total_duration: 92.174ms       , real_time_elapsed: 100.090447ms   
Job 3833           , total_duration: 190.89ms       , real_time_elapsed: 300.385239ms   
Job 3835           , total_duration: 1.008100032s   , real_time_elapsed: 1.702443994s   
Job 3832           , total_duration: 547.48ms       , real_time_elapsed: 1.001403153s   
Job 3831           , total_duration: 660.099968ms   , real_time_elapsed: 700.977456ms   
Job 3840           , total_duration: 5.215199744s   , real_time_elapsed: 11.917456242s  
Job 3830           , total_duration: 567ms          , real_time_elapsed: 600.803261ms   
Job 3828           , total_duration: 200.42ms       , real_time_elapsed: 400.543709ms   
Job 3829           , total_duration: 607.460032ms   , real_time_elapsed: 901.313559ms   
Job 3876           , total_duration: 6.888899584s   , real_time_elapsed: 50.774035172s  
Job 3826           , total_duration: 296.550016ms   , real_time_elapsed: 500.735663ms   
Job 3825           , total_duration: 466.949984ms   , real_time_elapsed: 500.681486ms   
Job 3824           , total_duration: 75.484ms       , real_time_elapsed: 100.094796ms   
Job 3823           , total_duration: 198.05ms       , real_time_elapsed: 200.238326ms   
Job 3821           , total_duration: 228.66ms       , real_time_elapsed: 400.511204ms   
Job 3822           , total_duration: 1.059100032s   , real_time_elapsed: 1.301824422s   
